"","id","veg","log_ud_wt","prop_area","sel"
"39","15.13","Shrub swale",-5.55300609122991,0.0947075151021384,-0.0908317263627077
"40","15.13","Wooded swale",-Inf,0.00340674991129224,-0.00340674991129224
"41","15.14","Beach",-11.8118115536023,0.022654448168896,-0.022647031730033
"42","15.14","Beachgrass dune",-2.76824348063514,0.177177757106286,-0.114405588615308
"43","15.14","Brackish marsh",-2.38167394509544,0.043172600722749,0.0492231817975938
"44","15.14","Coastal scrub",-1.78443332759176,0.298898462999492,-0.131006289088268
"45","15.14","Conifer forest",-1.61594191148313,0.200439785841725,-0.00173636460734888
"46","15.14","Freshwater marsh",-5.04946583975535,0.00181799112351504,0.00459476684840434
"47","15.14","Fruit tree",-7.21628651502044,0.000620229527375209,0.000114295480814333
"48","15.14","Meadow",-1.00737147532278,0.0889107816238695,0.276266815846837
"49","15.14","Pasture",-4.38992109617637,0.101669342356038,-0.0892676346320402
"50","15.14","Shrub swale",-3.43766338088574,0.0441226764177984,-0.0119829805318843
"51","15.14","Wooded swale",-2.7909522509695,0.0205159241122548,0.0408468292312324
"52","15.01","Beach",-3.13277168497354,0.0409310507806053,0.00266574228063897
"53","15.01","Beachgrass dune",-1.86743302286229,0.125517988579354,0.0290018133758526
"54","15.01","Brackish marsh",-6.60598400291941,0.0766859025690163,-0.0753336506700593
"55","15.01","Coastal scrub",-0.627840531559196,0.195258084991404,0.338485073914695
"56","15.01","Conifer forest",-1.57348319621082,0.195188219394387,0.0121335613779968
"57","15.01","Freshwater marsh",-5.76980979991735,0.0016758897901043,0.00144446115863159
"58","15.01","Fruit tree",-6.55894073518336,0.000571749949163451,0.000845636353722835
"59","15.01","Meadow",-3.21236130928486,0.0876547909164243,-0.047393359668693
"60","15.01","Pasture",-8.3793094583547,0.222833585292355,-0.222604016875069
"61","15.01","Shrub swale",-4.23908614868506,0.0347704189092467,-0.0203496546514859
"62","15.01","Wooded swale",-10.9993696689017,0.0189123188279406,-0.0188956065962303
"63","15.11","Coastal scrub",-2.01656644824428,0.0361456155430985,0.0969661117938414
"64","15.11","Conifer forest",-0.99087807026625,0.309900664520166,0.0613498992601328
"65","15.11","Freshwater marsh",-2.54592298108427,0.102554388144121,-0.0241537318909205
"66","15.11","Meadow",-2.12862080212371,0.139712031633311,-0.0207107245602517
"67","15.11","Shrub swale",-1.83732216199725,0.19146060391678,-0.0322173205368158
"68","15.11","Wooded swale",-1.97333557626766,0.220226696242524,-0.0812342340659861
"69","16.15","Brackish marsh",-9.69410035871355,0.0778089960990192,-0.0777473499847184
"70","16.15","Coastal scrub",-3.23016992750451,0.0606321281022549,-0.0210813506498239
"71","16.15","Conifer forest",-0.670126553607035,0.507396853943933,0.00424696937388191
"72","16.15","Freshwater marsh",-10.4154151827045,0.00029935785744496,-0.000269390899427451
"73","16.15","Meadow",-0.880761557912113,0.213515097840468,0.200952052883302
"74","16.15","Pasture",-15.5194783897667,0.0554132313166906,-0.0554130493565879
"75","16.15","Shrub swale",-3.90159268966605,0.0431276858832216,-0.0229179878607953
"76","16.15","Wooded swale",-4.2660760003145,0.0418066489569678,-0.027769893505831
